,username,created_at,truncated,description,following,followers,totaltweets,retweetcount,text,hashtags,user_mention,retweetScreenNames
115,kittyhundal,2022-09-21 07:13:23+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,1,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/tOzmqkLWRh","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
116,kittyhundal,2022-09-21 07:11:01+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/t3OqOM0fWU","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
117,kittyhundal,2022-09-21 07:10:47+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/YYeY8HH40M","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
118,paulbris2010,2022-09-21 07:09:11+00:00,False,"""We will not go quietly into the night! we will not vanish without a fight! we're going to fight on, we're going to free Julian!""",4133,3676,277588,2,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/7edN8dCeDk","[{'text': 'cdnpoli', 'indices': [106, 114]}, {'text': 'onpoli', 'indices': [115, 122]}, {'text': 'bcpoli', 'indices': [123, 130]}, {'text': 'qcpoli', 'indices': [131, 138]}]","['kittyhundal', 'INTERPOL_HQ']",kittyhundal
119,kittyhundal,2022-09-21 07:06:11+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/jdWHQ8a3f9","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
120,kittyhundal,2022-09-21 07:03:47+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/jayIWFy7ix","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
121,kittyhundal,2022-09-21 06:58:54+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,2,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/7edN8dCeDk","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
122,kittyhundal,2022-09-21 06:44:50+00:00,False,"Cypherpunks: Privacy for the powerless, Transparency for the powerful. #FreeThinker 😺 #FreeAssange #OCLA #TaxtheRich #Panquake #TalkLiberation #TheGreatResist",4033,4110,196754,0,"Needed: Joint @INTERPOL_HQ-RCMP-FBI Investigation into Gov Corruption/Fraud/Racketeering
#cdnpoli #onpoli #bcpoli #qcpoli  #saskpoli 
#NoVaccineMandates
#NoVaccinePassports
#TruckersForFreedom
#TheGreatResist
#Nuremberg2
#NoFarmsNoFood https://t.co/drGBqXXKsl","[{'text': 'cdnpoli', 'indices': [89, 97]}, {'text': 'onpoli', 'indices': [98, 105]}, {'text': 'bcpoli', 'indices': [106, 113]}, {'text': 'qcpoli', 'indices': [114, 121]}, {'text': 'saskpoli', 'indices': [123, 132]}, {'text': 'NoVaccineMandates', 'indices': [134, 152]}, {'text': 'NoVaccinePassports', 'indices': [153, 172]}, {'text': 'TruckersForFreedom', 'indices': [173, 192]}, {'text': 'TheGreatResist', 'indices': [193, 208]}, {'text': 'Nuremberg2', 'indices': [209, 220]}, {'text': 'NoFarmsNoFood', 'indices': [221, 235]}]",['INTERPOL_HQ'],
123,anilahuja12345,2022-09-21 06:42:14+00:00,False,"Once you master self control and detachment, nobody can phase you.",1364,1118,27746,62,"&amp; perpetrator of crimes against humanity.
It’s time to drive WHO out of India @PMOIndia.
#who_quitindia 
#StopTheTreaty
#NoVaccineMandates","[{'text': 'who_quitindia', 'indices': [109, 123]}, {'text': 'StopTheTreaty', 'indices': [125, 139]}]","['dipali_adv', 'PMOIndia']",dipali_adv
124,chrispattihis,2022-09-21 05:39:00+00:00,False,Founder and CEO of Spartan Group of Companies | Powerful Business Developer | Visionary | Serial Entrepreneur | Loving Husband and Father | Be Positive & Strong,642,272,7227,0,"⁦@SkyNews⁩ why are you negligently refusing to even remotely suggest this is because of vaccine injury? 
More people have been dying this year due to irregular heartbeat, official figures suggest | UK News | Sky News #covid19 #vaccine #vaccineinjury https://t.co/VpO4F2Gh6G","[{'text': 'covid19', 'indices': [217, 225]}, {'text': 'vaccine', 'indices': [226, 234]}, {'text': 'vaccineinjury', 'indices': [235, 249]}]",['SkyNews'],
125,RingosMyUncle,2022-09-21 05:14:34+00:00,False,"Entrepreneur, Musicholic, Globetrotter, Drummer, Tattoo Collector, I've got the fever for the flavour of the vintage, new music, art and craft beer!",1110,1554,4232,233,"Attorney lawyer for military, Todd Callender: 

“according to DMED, military database, all cause mortality spiked 1100% in just 10 months, the year the vaccine was introduced”

That’s just the starting statement

These facts are disturbing
#vaccine #VaccineDeath #Vaccineinjury https://t.co/3cP63Kzcli",[],['bambkb'],bambkb
126,SoniaHi27303526,2022-09-21 05:13:46+00:00,False,,1680,681,133903,11645,"Two weeks before the pandemic started, the government (NIAID) and MODERNA signed a confidential agreement regarding COVID VACCINES, how did they know!!??

Anthony Fauci has to answer some questions!
#vaccine #vaccineinjury #vaccinedeaths https://t.co/v8MAqN5Qsx",[],['bambkb'],bambkb
127,Thosi43314438,2022-09-21 04:18:56+00:00,False,"🌊|Amplifier|Bibliomancy|DreamBuster|+27847251277
#GodWithin #GoTlaBonagala #AusMagrieza #MindFM 🕯💚",11761,11048,68083,0,"What's the root cause of #vaccineInjury?
Or it doesn't exist?
Shucks we forget,there were global indemnity forms during #vaccinemandates 
Ai,goodmorning Dr WHO https://t.co/jIw3H2bqWj","[{'text': 'vaccineInjury', 'indices': [25, 39]}, {'text': 'vaccinemandates', 'indices': [120, 136]}]",[],
128,hephaistos_ai,2022-09-21 04:13:46+00:00,False,"Héphaïstos has won 5 competitions and is frequently cited in press articles for its innovative character and its solutions.
Follow on Instagram- @hephaistos_ai",207,4543,388497,1,Vaccines Cause Adults Black Unisex Jersey Short https://t.co/MsjEvsOwoj #covid #vaccine #covid19 #shot #vaxx #antivaxx #antivaccine #cdc @etsymktgtool https://t.co/wHIcKZ5OUg,"[{'text': 'covid', 'indices': [93, 99]}, {'text': 'vaccine', 'indices': [100, 108]}, {'text': 'covid19', 'indices': [109, 117]}, {'text': 'shot', 'indices': [118, 123]}, {'text': 'vaxx', 'indices': [124, 129]}, {'text': 'antivaxx', 'indices': [130, 139]}]",['HerCyanideSmile'],HerCyanideSmile
129,HerCyanideSmile,2022-09-21 04:13:41+00:00,False,,3581,523,1134,1,Vaccines Cause Adults Black Unisex Jersey Short https://t.co/MsjEvsOwoj #covid #vaccine #covid19 #shot #vaxx #antivaxx #antivaccine #cdc @etsymktgtool https://t.co/wHIcKZ5OUg,"[{'text': 'covid', 'indices': [72, 78]}, {'text': 'vaccine', 'indices': [79, 87]}, {'text': 'covid19', 'indices': [88, 96]}, {'text': 'shot', 'indices': [97, 102]}, {'text': 'vaxx', 'indices': [103, 108]}, {'text': 'antivaxx', 'indices': [109, 118]}, {'text': 'antivaccine', 'indices': [119, 131]}, {'text': 'cdc', 'indices': [132, 136]}]",['etsymktgtool'],
